 ,dc:title,dcterms:alternative,dc:relation,dc:type,compoundrelationship,group_id,collection_id,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1770224435,"Commencement, 1976, Photograph 2",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph2_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Crowd of undentified students and faculty at Commencemen, 1976. ",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770224802,"Commencement, 1976, Photograph 25",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph25_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Student looking into the distance with a second person on the right at Commencement. May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226052,"Commencement, 1976, Photograph 26",,"Commencement, 1976",image,,,,,Commencement-1976-Photograp26_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Students gathered in Humanities A-G and Social Studies A-G lines during the 1976 Commencement.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226115,"Commencement, 1976, Photograph 32",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph32_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"The photograph shows Sarah Megan (Class of 1976) in the Grinnell College Commencement ceremony, standing among graduates near the Science A-G procession sign.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226312,"Commencement, 1976, Photograph 33",,"Commencement, 1976",image,,,,,Commencement-976-Photograph33_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Two unidentified students wearing graduation robes during the 1976 Commencement.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395330,"Commencement, 1977, Photograph 2",,Commencement 1977,image,,,,,Commencement-1977-Photograph_2.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Students sit on the roof of the bookstore while others stand below. Herrick Chapel is in the background. ,,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395730,"Commencement, 1977, Photograph 21",,Commencement 1977,image,,,,,Commencement-1977-Photograph_21.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Woman sits on the backrest of a wooden folding chair with seated crowd in background. Commencement 1977. ,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395813,"Commmencement, 1977, Photograph 24",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_24.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Crowd of seated onlookers at Commencement 1977.,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395838,"Commmencement, 1977, Photograph 27",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_27.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,"The photograph shows Claudia Beckwith (Class of 1977) during the 1977 Commencement, wearing a decorative graduation cap with a flower. ",,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395897,"Commmencement, 1977, Photograph 28",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_28,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,A student adjusts her decorated graduation cap at the 1977 Commencement. ,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
